symbol,side,setup,result,pnl_pips,body_size,upper_wick,lower_wick,adx,z_score,atr,rsi14,bollinger_bandwidth,dist_ema9,dist_sma21,dist_sma200,dist_vwap,hour,day_of_week
JP225,BUY,Russian,1,17.510000000002037,0.28290496446191876,0.37720661928255833,0.0,22.929990372589838,0.27878787921666326,26.510669454899435,51.4225795124791,0.004809234559191595,-0.0003438885507556457,0.00034892593490671735,0.00169165365017502,0.00024993883051109664,10,4
JP225,BUY,Russian,0,-40.01000000000204,0.980889364461753,0.08174078037181276,0.24522234111543825,26.328429101619005,0.36902398669875885,30.58448902283899,53.62825477569919,0.0040836625075718145,-0.00023056936292309844,0.0003774680830582631,0.0022748946308397224,0.0009059037267902697,11,4
JP225,BUY,Russian,0,-15.010000000002037,0.24511128156786827,0.0,0.24511128156786827,25.639398635704925,0.27461503873526777,30.59834680813475,53.64524085373884,0.0027206968892118464,-0.00016486231879100355,0.00022061418144015543,0.0024491330265689407,0.0011818116181409094,11,4
JP225,BUY,Russian,1,72.51000000000204,1.5434757209269632,0.06710764004030274,0.33553820020151376,46.924833228499544,0.7595436998606477,37.25358243112972,68.89584264398702,0.008997175569354416,0.0008075988041572982,0.001960775498937588,0.005498275888617023,0.0014264952210680843,2,0
JP225,BUY,Russian,1,82.51000000000204,0.11326932748923671,0.5097119737015652,1.245962602381604,52.400013829149664,2.075988466734761,44.14257690790227,72.38733088025648,0.0038719839922080846,0.0010639870949607781,0.001916542189708672,0.007346758750761644,0.0022041375207065054,3,0
JP225,BUY,Russian,0,-0.010000000002037268,0.0,0.0,0.0,20.807794211840328,0.11033457419941953,13.930212719461958,51.94544387723975,0.0012424204416931531,-3.3550516833671586e-05,3.782841048225433e-05,0.0015153415539244422,-0.00040204156343175124,1,1
JP225,BUY,Russian,1,15.010000000002037,0.08817747090176775,0.0,0.4408873545088388,11.267084653036493,1.0633438881470156,28.35191318636335,54.668502128280785,0.001853813447272403,0.00020565482098426814,0.0005186833124151298,0.0010286958929902647,0.0003163906391460865,19,2
JP225,BUY,Russian,0,-75.01000000000204,0.7691536892998219,0.03845768446499109,0.34611916018491984,41.989723499211586,0.5098842477095785,65.006513906884,58.54535826881956,0.01664899342530955,-0.0007266764899276648,0.0020900193646385574,0.008643567314099357,-0.000922823932894904,2,3
JP225,BUY,Russian,0,-80.01000000000204,0.8787293182653402,0.2027836888304631,0.0,30.44919717362428,1.0650482055058796,73.97044647185957,62.07258238192404,0.007607332784510571,0.0023992066111335687,0.0019686466359281353,0.01081628077236673,0.0024174383548713992,3,3
JP225,BUY,Russian,0,-72.51000000000204,0.7951051827882405,0.04184764119938108,0.37662877079442975,24.582351189890478,0.5627799533326018,59.74052367943201,55.450057079360036,0.00717170806779656,-0.00021622943801984657,0.0010084073535454247,0.009610216759390498,0.0017761199813464798,5,3
JP225,BUY,Russian,0,-25.010000000002037,0.3518305386365119,0.1407322154546048,0.21109832318190716,18.026516080076696,0.5517389870663592,35.52846790515298,49.736589581409234,0.0025217676673265636,-0.0001787149844381867,0.00033860237505493185,0.0022446171981908318,0.0017790762916315356,11,4
JP225,BUY,Russian,0,-37.51000000000204,0.9740582205615271,0.48702911028076357,0.0,23.025817136858777,0.08744553429440788,25.665816962756033,51.613041401796934,0.0026180006694608926,-0.0003851339259765719,6.348148485686174e-05,0.0002757032269704934,0.001187876316248242,15,0
JP225,BUY,Russian,0,-40.01000000000204,1.0011548254071752,0.0,0.14302211791531075,22.3829763408689,0.2990278860225822,34.95962773366777,48.77172765753157,0.004250512671836528,-0.0005675282853922049,0.00034785033803712696,0.0014895647033865973,0.0005206351527526985,5,1
JP225,BUY,Russian,0,-120.01000000000204,2.5414288113727386,0.309930342850334,0.1239721371401336,20.327894205601048,0.3196823528229016,40.33164318485679,51.32411836236919,0.0039417545849987565,-0.00016811138668442512,0.00029966052058931524,0.0031204270658455936,-0.00026405012882379635,3,2
JP225,BUY,Russian,1,12.510000000002037,0.08441689071116525,0.1688337814223305,0.1688337814223305,19.509049998280364,0.49009404254060984,29.61492633688464,52.81655797463648,0.0027406172553735117,-0.00010478374981510632,0.0003372124191034368,0.002649214413100834,0.000612865942092145,5,2
JP225,BUY,Russian,1,17.510000000002037,0.18106494657017771,0.2715974198552666,0.18106494657017771,19.334580773594233,0.7264822722295514,27.6144007700689,55.23234024715617,0.0027304125591080686,0.00011286826607968285,0.00047581922615459336,0.0028235780861942342,0.000858205725406597,6,2
JP225,BUY,Russian,0,-35.01000000000204,0.2012936231475703,0.704527681016496,0.5032340578689257,21.47036617116024,1.0443874723678972,24.839336297973293,59.22569756346174,0.001800537886983959,0.00020591260817870173,0.0005197171030506994,0.003054587378116327,0.0012423012080326678,6,2
JP225,BUY,Russian,0,-27.510000000002037,0.6378027111290651,0.21260090370968834,0.31890135556453253,22.094943415917278,0.37056525670897683,23.51824433835719,50.226629311453806,0.0028722279035617707,-0.0002600959722080037,0.0002615908279977983,0.0010923074660705333,0.00029449813849327183,9,2
JP225,BUY,Russian,0,-20.010000000002037,0.14393500355712271,0.7196750177856135,0.28787000711424543,11.886310770417253,0.6905838276367411,17.36895083347699,51.55195688197253,0.001574250885934256,1.8997055764706574e-05,0.0002772802732491314,0.0005661744333523745,0.0003502360239330214,15,2
