symbol,side,setup,result,result_raw,pnl_pips,fibonacci_fib_1_0,fibonacci_fib_1_618,fibonacci_swing_high,fibonacci_swing_low,liquidity_vwap_dist,microstructure_body_size,microstructure_lower_wick,microstructure_upper_wick,momentum_rsi14,momentum_rsi9,momentum_sar,ohlcv_close,ohlcv_high,ohlcv_low,ohlcv_open,ohlcv_real_volume,ohlcv_tick_volume,regime_z_score,relative_distances_dist_ema9,relative_distances_dist_sma200,relative_distances_dist_sma21,relative_distances_dist_vwap,time_day_of_week,time_hour,time_minute,trend_adx,trend_ema9,trend_sma200,trend_sma21,volatility_atr,volatility_bollinger_bandwidth
HK50,SELL,9.2,0,loss,-75.51,25030.940000000002,24961.106000000003,25256.95,25143.95,-12.132375478926406,14.0,52.0,9.5,34.200721460394476,31.585808841188822,25239.1712224,25195.95,25219.45,25143.95,25209.95,0.0,380.0,-2.3552299991930234,-0.0008309770548202243,-0.005679253613915702,-0.0012290330797905954,-0.0004812891079223119,4,4,30,20.53944431907252,25216.904669173673,25339.8615,25226.954761904763,19.259311892809826,0.0021927784431141103
HK50,SELL,9.2,0,loss,-75.51,25030.940000000002,24961.106000000003,25256.95,25143.95,0.9307780320305028,0.0,66.0,9.5,39.97772523242953,39.012051792162595,25239.1712224,25209.95,25219.45,25143.95,25209.95,0.0,388.0,-1.4890169158248614,-0.00038678760523307994,-0.0051295126823842465,-0.000700479378187276,3.692242144904202e-05,4,4,30,20.53944431907252,25219.704669173676,25339.9315,25227.62142857143,19.259311892809826,0.0019773584919269165
HK50,SELL,9.2,0,loss,-75.51,25030.940000000002,24961.106000000003,25256.95,25143.95,-15.083475137078494,17.5,48.5,9.5,33.12028817770232,30.299194337579365,25239.1712224,25192.45,25219.45,25143.95,25209.95,0.0,403.0,-2.5301517647503555,-0.0009420398305505045,-0.00581668932137059,-0.0013611758702083592,-0.0005983717189924895,4,4,30,20.53944431907252,25216.204669173676,25339.843999999997,25226.7880952381,19.259311892809826,0.002260502823089394
HK50,SELL,9.2,0,loss,-75.51,25030.940000000002,24961.106000000003,25256.95,25143.95,-9.3890765765791,11.5,54.5,9.5,35.01664669666309,32.57381101187288,25239.1712224,25198.45,25219.45,25143.95,25209.95,0.0,416.0,-2.220314681674534,-0.0007516502757654089,-0.005581085367669905,-0.001134646441356397,-0.0003724665390022876,4,4,30,20.53944431907252,25217.404669173673,25339.874,25227.073809523812,19.259311892809826,0.0021474899271820952
HK50,SELL,9.2,0,loss,-75.51,25030.940000000002,24961.106000000003,25256.95,25143.95,-10.608193668529566,13.0,53.0,9.5,34.52248576407138,31.973729233755734,25239.1712224,25196.95,25219.45,25143.95,25209.95,0.0,430.0,-2.302278740630494,-0.0007992459657079841,-0.005639986303795221,-0.0011912783175172187,-0.0004208338462229183,4,4,30,20.53944431907252,25217.104669173674,25339.8665,25227.002380952385,19.259311892809826,0.002174342541863252
HK50,SELL,9.2,0,loss,-75.51,25030.940000000002,24961.106000000003,25256.95,25143.95,-6.818703703705978,9.0,57.0,9.5,35.87245439839357,33.625618297726675,25239.1712224,25200.95,25219.45,25143.95,25209.95,0.0,440.0,-2.076847184250812,-0.0006723266423636561,-0.005482917218275614,-0.0010402606937468595,-0.00027050009002598175,4,4,30,20.53944431907252,25217.904669173673,25339.8865,25227.192857142858,19.259311892809826,0.0021049621867622443
HK50,SELL,9.2,0,loss,-75.51,25030.940000000002,24961.106000000003,25256.95,25143.95,-9.942662241890503,12.5,53.5,9.5,34.685649043021996,32.17128468416084,25239.1712224,25197.45,25219.45,25143.95,25209.95,0.0,448.0,-2.2752973499713143,-0.0007833806098986045,-0.005620352654546006,-0.0011724009898304512,-0.00039443437784755894,4,4,30,20.53944431907252,25217.204669173676,25339.869,25227.026190476194,19.259311892809826,0.00216528349886273
HK50,SELL,9.2,0,loss,-75.51,25030.940000000002,24961.106000000003,25256.95,25143.95,-13.987786960515223,17.0,49.0,9.5,33.270437424301306,30.47654143320962,25239.1712224,25192.95,25219.45,25143.95,25209.95,0.0,455.0,-2.5061359852509724,-0.0009261733422115682,-0.005797055637254903,-0.0013422982218183057,-0.0005549181371705955,4,4,30,20.53944431907252,25216.304669173674,25339.8465,25226.811904761907,19.259311892809826,0.0022505336590900576
HK50,SELL,9.2,0,loss,-75.51,25030.940000000002,24961.106000000003,25256.95,25143.95,-3.3467579908719927,5.5,60.5,9.5,37.14335262363684,35.217666507684996,25239.1712224,25204.45,25219.45,25143.95,25209.95,0.0,465.0,-1.8614301138985776,-0.0005612788399421318,-0.005345481971833749,-0.0009081221436553108,-0.00013276677938190177,4,4,30,20.53944431907252,25218.604669173674,25339.904,25227.359523809526,19.259311892809826,0.00205038621995984
HK50,SELL,9.2,0,loss,-75.51,25030.940000000002,24961.106000000003,25256.95,25143.95,-7.368229734645865,10.0,56.0,9.5,35.52516008583382,33.19684824271113,25239.1712224,25199.95,25219.45,25143.95,25209.95,0.0,474.0,-2.13527005078514,-0.0007040557182580801,-0.0055221844664111305,-0.0010780148858925052,-0.00029230518167356153,4,4,30,20.53944431907252,25217.704669173676,25339.8815,25227.14523809524,19.259311892809826,0.0021216311303880932
