symbol,side,setup,result,pnl_pips,body_size,upper_wick,lower_wick,adx,z_score,atr,rsi14,bollinger_bandwidth,dist_ema9,dist_sma21,dist_sma200,dist_vwap,hour,day_of_week,dir_lag1,dir_lag2,dir_lag3,rolling_vol_10
HK50,BUY,Russian,0,-32.06767966687039,0.8561800890370214,0.536648763942253,0.1720553288976186,18.565105722029312,-3.2443148459121574,12.205376104635423,22.957583473118817,0.0024523082753800693,-0.0013482375587641486,-0.0019220648363914234,0.0031837712617715412,0.0012596080300766792,15,0,-1.0,-1.0,-1.0,0.00045012841181259124
HK50,BUY,Russian,0,-36.52069745199333,0.5168272503525074,0.5248400759398381,0.24439118039959118,21.224458136792485,-2.270681382998059,12.479992097161672,29.035408243881278,0.0027931398027530546,-0.0008507560410696809,-0.0015371322645728771,0.0034283582872768606,0.001540623669843551,15,0,-1.0,-1.0,-1.0,0.0004769311880595528
HK50,BUY,Russian,0,-39.15835966762825,0.04110637279429867,0.2096425012511625,0.4110637279429867,23.693856807644003,-1.9062943012325648,12.16356409022176,29.835544315000078,0.0029952001679423284,-0.0006500979342370457,-0.001399791483607871,0.0034208134716472976,0.0015750566069916258,15,0,1.0,-1.0,-1.0,0.00047810920163707005
HK50,BUY,Russian,0,-47.14909275543323,0.8119262376239496,0.0,0.32640250758761286,28.800505266331754,-2.0730590149972534,12.254807812486922,24.52553389159634,0.0036072513463231235,-0.000901708657687894,-0.0018117897209145113,0.002683365030179825,0.0009165840552835976,15,0,-1.0,1.0,1.0,0.0004712378879086918
HK50,SELL,Russian,1,213.8305996121053,0.15017445447651928,0.28366285845564754,0.5673257169112951,18.454722522862514,2.706017562530078,29.965149636708706,74.43195337250131,0.007247620048732449,0.0030156381168102756,0.0046676545719987455,-0.0009418476069634349,-0.0016836295544751514,16,1,1.0,1.0,1.0,0.001187614106279204
HK50,BUY,Russian,1,108.9503992515456,2.231658919923331,0.5579147299808328,0.11158294599616655,33.88745725425983,-3.6103239898900137,17.923885967921212,29.886552267990652,0.003001850346716293,-0.002522004672469203,-0.002637370333851628,0.005114467574275579,-0.0006140761607959822,3,3,-1.0,0.0,-1.0,0.0010582685728373648
HK50,BUY,Russian,0,-36.86378160694221,1.9483040624169186,0.07059072689915813,0.0,33.418139194863635,-3.0793195403369813,14.166166633027348,25.659268293048896,0.002779277814882574,-0.001484611091396469,-0.0020609751368957526,0.007027773634499479,0.005231124092172207,16,3,-1.0,-1.0,-1.0,0.00040183022710734513
HK50,BUY,Russian,0,-43.668254152013105,0.19538503684997854,0.3842572391383859,1.4263107690047012,35.16703723652259,-2.3979672936395793,15.354297587811057,27.952853506846182,0.0032926060923574936,-0.0010974636892643103,-0.001877735784021307,0.007034460138556731,0.005312160664709508,16,3,-1.0,-1.0,-1.0,0.00037648659608327404
HK50,BUY,Russian,0,-50.47940981654028,0.47092556662076146,0.03203575283135066,0.7079901375728029,36.79101398949162,-2.2445418136562023,15.607562045824396,25.981745705758215,0.0038065430675579964,-0.0010850234104349645,-0.002032069095376371,0.006671423819491834,0.005025810700383821,16,3,1.0,-1.0,-1.0,0.00037639264184394336
HK50,BUY,Russian,0,-61.28006973733136,1.4094472135854288,0.09132487345045401,0.1461197975205935,38.70112733350357,-2.5366486112946434,16.424879042551172,20.584720368453816,0.004621665293718741,-0.001582682408995071,-0.002788413909908904,0.00567561671493801,0.004101247553276442,16,3,-1.0,1.0,-1.0,0.00041359362440360344
HK50,BUY,Russian,0,-71.29165153507711,0.49636290178007514,0.7090898596860059,0.17727246492150148,40.671349470357974,-2.2925753302910845,16.923101968083078,19.15347425314019,0.005377587958757225,-0.001505322353571601,-0.0029349376653506182,0.005281091956065867,0.0037736730439072975,16,3,-1.0,-1.0,1.0,0.0004039794876469761
